"Label (Grouping)","Bayonne city, Hudson County, New Jersey!!Estimate","Bayonne city, Hudson County, New Jersey!!Margin of Error","East Newark borough, Hudson County, New Jersey!!Estimate","East Newark borough, Hudson County, New Jersey!!Margin of Error","Guttenberg town, Hudson County, New Jersey!!Estimate","Guttenberg town, Hudson County, New Jersey!!Margin of Error","Harrison town, Hudson County, New Jersey!!Estimate","Harrison town, Hudson County, New Jersey!!Margin of Error","Hoboken city, Hudson County, New Jersey!!Estimate","Hoboken city, Hudson County, New Jersey!!Margin of Error","Jersey City city, Hudson County, New Jersey!!Estimate","Jersey City city, Hudson County, New Jersey!!Margin of Error","Kearny town, Hudson County, New Jersey!!Estimate","Kearny town, Hudson County, New Jersey!!Margin of Error","North Bergen township, Hudson County, New Jersey!!Estimate","North Bergen township, Hudson County, New Jersey!!Margin of Error","Secaucus town, Hudson County, New Jersey!!Estimate","Secaucus town, Hudson County, New Jersey!!Margin of Error","Union City city, Hudson County, New Jersey!!Estimate","Union City city, Hudson County, New Jersey!!Margin of Error","Weehawken township, Hudson County, New Jersey!!Estimate","Weehawken township, Hudson County, New Jersey!!Margin of Error","West New York town, Hudson County, New Jersey!!Estimate","West New York town, Hudson County, New Jersey!!Margin of Error"
"Total:","27,198","±801","846","±114","4,973","±488","8,531","±406","27,879","±599","119,278","±1,283","14,703","±462","23,959","±818","8,607","±393","25,610","±696","7,862","±468","20,608","±646"
"    No vehicle available","5,596","±580","246","±80","1,737","±507","2,871","±414","9,551","±594","45,945","±1,594","2,110","±423","5,175","±695","884","±254","10,376","±792","1,573","±314","8,253","±822"
"    1 vehicle available","12,384","±801","284","±117","1,960","±359","3,865","±538","15,465","±822","51,890","±1,702","5,801","±655","11,631","±924","3,692","±453","11,265","±849","4,291","±485","9,174","±663"
"    2 vehicles available","6,419","±589","255","±82","1,221","±323","1,556","±259","2,470","±482","17,068","±1,154","4,565","±491","5,144","±593","2,940","±391","2,968","±562","1,545","±332","2,485","±460"
"    3 vehicles available","2,069","±380","61","±41","38","±43","164","±75","379","±154","3,555","±624","1,520","±271","1,422","±274","802","±236","880","±178","319","±130","582","±230"
"    4 or more vehicles available","730","±229","0","±14","17","±30","75","±64","14","±25","820","±204","707","±174","587","±227","289","±138","121","±69","134","±105","114","±75"
"    1-person household:","8,308","±849","127","±62","1,676","±430","2,905","±484","9,092","±732","38,014","±1,811","3,258","±377","6,725","±880","2,313","±377","6,939","±707","2,712","±482","5,758","±563"
"        No vehicle available","3,113","±456","68","±46","808","±276","1,179","±298","4,674","±482","21,690","±1,294","827","±247","2,564","±434","652","±218","4,186","±563","797","±197","2,943","±484"
"        1 vehicle available","4,843","±694","49","±34","758","±231","1,697","±397","4,383","±583","15,675","±1,266","1,995","±320","4,014","±722","1,561","±329","2,652","±469","1,837","±397","2,629","±411"
"        2 vehicles available","259","±85","0","±14","110","±105","29","±38","16","±18","527","±198","391","±195","147","±115","79","±57","85","±67","27","±35","186","±108"
"        3 vehicles available","50","±44","10","±15","0","±21","0","±21","19","±30","80","±57","37","±35","0","±32","0","±25","16","±25","0","±21","0","±32"
"        4 or more vehicles available","43","±70","0","±14","0","±21","0","±21","0","±32","42","±50","8","±14","0","±32","21","±32","0","±32","51","±77","0","±32"
"    2-person household:","6,880","±769","201","±74","1,422","±330","2,661","±359","11,714","±646","36,890","±1,461","4,179","±494","6,856","±651","2,824","±395","7,562","±642","2,922","±447","6,242","±731"
"        No vehicle available","1,199","±289","68","±42","509","±222","891","±269","3,380","±431","12,647","±978","437","±161","1,200","±453","93","±73","2,641","±390","471","±200","2,489","±483"
"        1 vehicle available","3,260","±503","51","±31","609","±191","1,118","±222","6,519","±625","17,973","±1,058","1,887","±437","3,927","±457","1,227","±313","3,741","±628","1,581","±281","2,968","±438"
"        2 vehicles available","2,197","±431","82","±49","304","±145","640","±230","1,748","±449","5,911","±725","1,653","±320","1,594","±285","1,372","±286","1,070","±382","757","±295","716","±277"
