geoid,name,B08201001,"B08201001, Error",B08201002,"B08201002, Error",B08201003,"B08201003, Error",B08201004,"B08201004, Error",B08201005,"B08201005, Error",B08201006,"B08201006, Error",B08201007,"B08201007, Error",B08201008,"B08201008, Error",B08201009,"B08201009, Error",B08201010,"B08201010, Error",B08201011,"B08201011, Error",B08201012,"B08201012, Error",B08201013,"B08201013, Error",B08201014,"B08201014, Error",B08201015,"B08201015, Error",B08201016,"B08201016, Error",B08201017,"B08201017, Error",B08201018,"B08201018, Error",B08201019,"B08201019, Error",B08201020,"B08201020, Error",B08201021,"B08201021, Error",B08201022,"B08201022, Error",B08201023,"B08201023, Error",B08201024,"B08201024, Error",B08201025,"B08201025, Error",B08201026,"B08201026, Error",B08201027,"B08201027, Error",B08201028,"B08201028, Error",B08201029,"B08201029, Error",B08201030,"B08201030, Error"
06000US3401752470,"North Bergen township, Hudson County, NJ",23315,857,5522,708,10866,805,4877,648,1481,312,569,236,6566,848,2845,520,3602,566,119,112,0,31,0,31,6300,643,1254,388,3337,411,1608,377,52,57,49,56,3972,489,586,218,1809,344,1165,343,396,159,16,26,6477,490,837,279,2118,356,1985,422,1033,274,504,231
06000US3401777930,"Weehawken township, Hudson County, NJ",7565,412,1625,311,4159,434,1368,291,322,112,91,96,2741,438,854,211,1813,372,25,27,0,21,49,77,2665,401,396,138,1444,307,671,280,154,81,0,21,1167,273,349,198,493,138,252,102,73,59,0,21,992,156,26,31,409,163,420,100,95,58,42,59
16000US3403580,"Bayonne, NJ",27036,841,5836,540,11965,723,6877,570,1829,377,529,203,8157,832,3217,444,4583,646,324,132,33,36,0,31,7201,631,1459,317,3227,457,2290,369,206,90,19,22,5318,624,551,192,2150,385,2025,461,573,279,19,23,6360,414,609,161,2005,295,2238,342,1017,241,491,198
16000US3419360,"East Newark, NJ",883,114,277,81,279,121,280,80,47,27,0,13,92,43,65,43,18,16,0,13,9,13,0,13,216,66,79,45,67,36,70,44,0,13,0,13,272,118,46,44,127,104,99,49,0,13,0,13,303,84,87,55,67,46,111,64,38,24,0,13
16000US3428650,"Guttenberg, NJ",5033,388,1560,389,2209,361,1135,292,103,67,26,40,1768,374,711,230,991,290,66,62,0,21,0,21,1292,306,426,191,469,154,372,164,25,39,0,21,809,356,272,256,320,160,217,175,0,21,0,21,1164,262,151,96,429,140,480,270,78,56,26,40
16000US3430210,"Harrison, NJ",7888,391,2686,405,3468,509,1339,267,294,123,101,71,2437,459,974,236,1457,422,6,8,0,21,0,21,2486,395,915,310,1039,197,522,208,10,13,0,21,1526,316,474,287,483,151,424,132,89,56,56,57,1439,173,323,111,489,138,387,143,195,103,45,43
16000US3432250,"Hoboken, NJ",27932,504,9556,639,15459,667,2524,438,393,156,0,31,8939,689,4409,511,4492,534,24,21,14,20,0,31,11952,759,3479,454,6609,549,1794,415,70,50,0,31,4259,512,1121,233,2531,390,430,147,177,114,0,31,2782,298,547,170,1827,293,276,113,132,82,0,31
16000US3436000,"Jersey City, NJ",115654,1316,44541,1583,50015,1419,16119,1172,3953,675,1026,262,36036,1663,20602,1118,14678,1164,566,179,110,78,80,80,35246,1386,12261,843,16848,1105,5793,676,329,109,15,17,19254,1040,6346,716,8448,739,3304,554,966,240,190,121,25118,1057,5332,563,10041,789,6456,722,2548,598,741,197
16000US3436510,"Kearny, NJ",14294,522,1881,381,5488,560,4656,455,1526,265,743,200,2841,448,706,193,1702,339,381,186,35,36,17,25,4115,503,370,141,1867,398,1715,299,158,76,5,7,3138,352,343,134,1075,193,1214,271,457,129,49,40,4200,419,462,256,844,209,1346,183,876,217,672,195
16000US3466570,"Secaucus, NJ",8000,418,536,193,3505,452,2765,372,938,207,256,165,1769,335,324,160,1363,293,82,60,0,25,0,25,2805,400,131,96,1302,322,1265,308,99,73,8,26,1535,311,26,23,482,153,617,188,378,184,32,45,1891,256,55,41,358,146,801,273,461,139,216,153
16000US3474630,"Union City, NJ",25292,738,9954,637,10815,900,3533,452,875,202,115,70,6527,667,4004,492,2392,415,91,64,16,24,24,36,7150,671,2482,366,3466,640,1093,331,109,68,0,31,4697,512,1375,313,2289,439,904,195,115,74,14,20,6918,350,2093,335,2668,377,1445,280,635,179,77,50
16000US3479610,"West New York, NJ",19940,584,7595,724,9160,673,2545,442,532,178,108,81,5128,575,2469,398,2408,320,251,120,0,31,0,31,6368,713,2340,450,3272,470,692,277,54,58,10,16,3570,450,1111,323,1669,355,694,211,96,104,0,31,4874,443,1675,322,1811,415,908,264,382,141,98,83
