"Label (Grouping)","Bayonne city, Hudson County, New Jersey!!Estimate","Bayonne city, Hudson County, New Jersey!!Margin of Error","East Newark borough, Hudson County, New Jersey!!Estimate","East Newark borough, Hudson County, New Jersey!!Margin of Error","Guttenberg town, Hudson County, New Jersey!!Estimate","Guttenberg town, Hudson County, New Jersey!!Margin of Error","Harrison town, Hudson County, New Jersey!!Estimate","Harrison town, Hudson County, New Jersey!!Margin of Error","Hoboken city, Hudson County, New Jersey!!Estimate","Hoboken city, Hudson County, New Jersey!!Margin of Error","Jersey City city, Hudson County, New Jersey!!Estimate","Jersey City city, Hudson County, New Jersey!!Margin of Error","Kearny town, Hudson County, New Jersey!!Estimate","Kearny town, Hudson County, New Jersey!!Margin of Error","North Bergen township, Hudson County, New Jersey!!Estimate","North Bergen township, Hudson County, New Jersey!!Margin of Error","Secaucus town, Hudson County, New Jersey!!Estimate","Secaucus town, Hudson County, New Jersey!!Margin of Error","Union City city, Hudson County, New Jersey!!Estimate","Union City city, Hudson County, New Jersey!!Margin of Error","Weehawken township, Hudson County, New Jersey!!Estimate","Weehawken township, Hudson County, New Jersey!!Margin of Error","West New York town, Hudson County, New Jersey!!Estimate","West New York town, Hudson County, New Jersey!!Margin of Error"
"Total:","24,784","±758","776","±120","4,634","±421","7,474","±357","24,983","±497","103,880","±1,263","13,710","±492","21,992","±796","7,672","±380","25,528","±652","6,905","±335","18,951","±713"
"    No vehicle available","5,655","±618","273","±78","1,366","±355","2,418","±387","8,068","±511","39,283","±1,246","1,824","±313","4,861","±596","504","±167","10,221","±678","1,476","±267","7,358","±704"
"    1 vehicle available","10,372","±656","248","±95","2,076","±291","3,265","±486","14,245","±666","45,121","±1,442","5,281","±543","10,394","±915","3,610","±450","10,972","±719","3,558","±403","8,324","±530"
"    2 vehicles available","6,508","±590","194","±58","1,033","±251","1,415","±228","2,246","±414","15,095","±1,012","4,577","±414","4,693","±499","2,464","±389","3,384","±435","1,491","±274","2,699","±453"
"    3 vehicles available","1,743","±328","61","±33","107","±65","296","±110","424","±140","3,591","±580","1,383","±207","1,522","±281","926","±222","737","±176","257","±98","448","±195"
"    4 or more vehicles available","506","±208","0","±13","52","±52","80","±65","0","±30","790","±187","645","±152","522","±212","168","±118","214","±100","123","±98","122","±66"
"    1-person household:","7,586","±775","92","±54","1,580","±346","2,128","±385","8,097","±621","31,485","±1,486","2,759","±438","5,994","±787","1,889","±373","6,835","±697","2,441","±424","4,451","±529"
"        No vehicle available","3,168","±449","70","±48","710","±212","877","±240","3,895","±416","17,645","±1,060","733","±188","2,451","±467","293","±143","4,160","±560","781","±189","2,235","±353"
"        1 vehicle available","4,066","±567","22","±17","775","±225","1,227","±343","4,138","±479","13,009","±1,028","1,628","±288","3,472","±641","1,530","±333","2,533","±466","1,567","±381","2,061","±331"
"        2 vehicles available","300","±118","0","±13","80","±56","24","±29","37","±27","702","±217","374","±215","71","±69","66","±49","100","±62","50","±37","155","±101"
"        3 vehicles available","34","±39","0","±13","0","±20","0","±20","27","±32","59","±59","17","±24","0","±30","0","±24","17","±27","0","±20","0","±30"
"        4 or more vehicles available","18","±27","0","±13","15","±24","0","±20","0","±30","70","±76","7","±12","0","±30","0","±24","25","±29","43","±65","0","±30"
"    2-person household:","6,273","±497","187","±72","1,133","±289","2,360","±343","10,606","±704","31,471","±1,242","3,699","±380","5,648","±663","2,483","±424","6,902","±655","2,568","±317","6,226","±686"
"        No vehicle available","1,240","±283","55","±33","250","±149","760","±239","2,811","±344","10,968","±777","404","±138","1,217","±304","121","±100","2,326","±320","347","±108","2,254","±432"
"        1 vehicle available","2,727","±370","72","±45","486","±161","1,035","±215","6,153","±639","14,728","±895","1,642","±321","2,863","±494","1,123","±304","3,449","±567","1,251","±231","3,139","±408"
"        2 vehicles available","2,068","±343","54","±32","363","±139","556","±187","1,557","±402","5,421","±608","1,510","±289","1,454","±282","1,128","±294","1,055","±306","873","±265","822","±285"
"        3 vehicles available","227","±96","6","±8","34","±42","9","±14","85","±59","280","±117","143","±62","92","±68","101","±61","72","±48","88","±60","0","±30"
"        4 or more vehicles available","11","±15","0","±13","0","±20","0","±20","0","±30","74","±61","0","±27","22","±30","10","±29","0","±30","9","±14","11","±17"
"    3-person household:","5,040","±523","278","±88","871","±327","1,589","±305","3,802","±479","18,000","±941","3,143","±387","3,969","±459","1,558","±316","5,002","±554","984","±229","3,188","±436"
"        No vehicle available","618","±204","69","±55","267","±245","492","±281","881","±225","5,717","±651","311","±124","433","±177","15","±18","1,713","±419","331","±171","1,131","±350"
"        1 vehicle available","1,772","±332","111","±74","339","±150","533","±180","2,338","±431","7,855","±689","981","±207","1,947","±392","516","±180","2,236","±341","371","±104","1,336","±246"
"        2 vehicles available","2,086","±417","84","±42","265","±153","422","±115","402","±128","3,140","±504","1,277","±254","1,216","±301","691","±228","860","±179","237","±92","629","±204"
"        3 vehicles available","533","±203","14","±25","0","±20","95","±53","181","±110","1,118","±247","517","±138","346","±157","303","±175","161","±78","45","±48","92","±110"
"        4 or more vehicles available","31","±22","0","±13","0","±20","47","±54","0","±30","170","±91","57","±44","27","±35","33","±37","32","±37","0","±20","0","±30"
"    4-or-more-person household:","5,885","±390","219","±53","1,050","±227","1,397","±186","2,478","±266","22,924","±996","4,109","±334","6,381","±419","1,742","±217","6,789","±410","912","±165","5,086","±420"
"        No vehicle available","629","±191","79","±39","139","±89","289","±102","481","±126","4,953","±542","376","±216","760","±266","75","±60","2,022","±279","17","±27","1,738","±277"
"        1 vehicle available","1,807","±269","43","±35","476","±184","470","±117","1,616","±249","9,529","±755","1,030","±217","2,112","±352","441","±166","2,754","±419","369","±156","1,788","±354"
"        2 vehicles available","2,054","±307","56","±44","325","±213","413","±134","250","±104","5,832","±589","1,416","±234","1,952","±440","579","±195","1,369","±219","331","±108","1,093","±284"
"        3 vehicles available","949","±216","41","±25","73","±51","192","±90","131","±75","2,134","±478","706","±172","1,084","±217","522","±154","487","±144","124","±78","356","±141"
"        4 or more vehicles available","446","±204","0","±13","37","±43","33","±33","0","±30","476","±133","581","±139","473","±205","125","±115","157","±89","71","±61","111","±64"
