geoid,name,B08201001,"B08201001, Error",B08201002,"B08201002, Error",B08201003,"B08201003, Error",B08201004,"B08201004, Error",B08201005,"B08201005, Error",B08201006,"B08201006, Error",B08201007,"B08201007, Error",B08201008,"B08201008, Error",B08201009,"B08201009, Error",B08201010,"B08201010, Error",B08201011,"B08201011, Error",B08201012,"B08201012, Error",B08201013,"B08201013, Error",B08201014,"B08201014, Error",B08201015,"B08201015, Error",B08201016,"B08201016, Error",B08201017,"B08201017, Error",B08201018,"B08201018, Error",B08201019,"B08201019, Error",B08201020,"B08201020, Error",B08201021,"B08201021, Error",B08201022,"B08201022, Error",B08201023,"B08201023, Error",B08201024,"B08201024, Error",B08201025,"B08201025, Error",B08201026,"B08201026, Error",B08201027,"B08201027, Error",B08201028,"B08201028, Error",B08201029,"B08201029, Error",B08201030,"B08201030, Error"
06000US3401752470,"North Bergen township, Hudson County, NJ",23784,884,5460,675,11638,1061,4889,626,1146,252,651,223,6983,851,2833,455,4047,670,94,64,9,14,0,32,6314,779,1159,392,3707,615,1381,342,4,7,63,55,4124,528,675,336,1785,470,1403,327,261,130,0,32,6363,453,793,290,2099,397,2011,415,872,226,588,217
06000US3401777930,"Weehawken township, Hudson County, NJ",8176,408,1712,333,4643,536,1516,325,259,119,46,42,2737,502,851,215,1856,452,30,34,0,21,0,21,3298,483,554,204,1884,329,777,306,83,73,0,21,1154,279,296,208,480,166,296,117,82,68,0,21,987,211,11,17,423,169,413,175,94,56,46,42
16000US3403580,"Bayonne, NJ",28325,769,6622,662,12924,827,6163,559,1904,371,712,243,9269,796,3782,498,5010,597,364,141,53,50,60,76,6932,728,1297,312,3312,430,2090,444,186,111,47,44,5998,701,870,266,2432,405,1892,473,773,305,31,32,6126,406,673,173,2170,370,1817,261,892,219,574,198
16000US3419360,"East Newark, NJ",829,102,207,69,332,116,243,81,47,44,0,14,81,49,24,23,50,43,0,14,7,11,0,14,305,80,117,50,134,54,54,37,0,14,0,14,124,98,18,27,71,90,35,27,0,14,0,14,319,81,48,44,77,51,154,75,40,43,0,14
16000US3428650,"Guttenberg, NJ",4953,484,1724,437,2094,353,1046,273,71,58,18,31,1670,413,844,267,799,222,27,34,0,21,0,21,1387,338,467,193,639,209,281,136,0,21,0,21,804,364,247,249,294,139,248,180,15,29,0,21,1092,281,166,106,362,148,490,253,56,53,18,31
16000US3430210,"Harrison, NJ",8991,402,2956,439,4270,545,1563,302,157,90,45,48,3173,568,1227,324,1910,459,36,49,0,21,0,21,2892,436,928,296,1237,272,718,291,9,16,0,21,1532,352,507,312,608,198,369,137,31,38,17,26,1394,222,294,125,515,145,440,138,117,76,28,39
16000US3432250,"Hoboken, NJ",27654,588,9296,644,15552,832,2381,452,391,164,34,38,8931,743,4834,541,4090,536,7,11,0,32,0,32,11669,797,3041,503,6882,701,1617,444,113,89,16,25,4106,522,897,254,2669,408,386,163,154,115,0,32,2948,344,524,185,1911,308,371,109,124,85,18,27
16000US3436000,"Jersey City, NJ",123132,1461,48193,1611,53495,1924,17244,1050,3362,570,838,203,40574,1732,23841,1184,16197,1292,445,180,79,53,12,19,38700,1643,12956,969,18703,1160,6638,686,384,148,19,23,20709,1329,6336,739,9184,891,4341,601,662,214,186,83,23149,1151,5060,697,9411,811,5820,627,2237,540,621,179
16000US3436510,"Kearny, NJ",14756,463,2227,394,5922,549,4560,539,1354,279,693,202,3279,517,983,266,1901,341,360,195,25,29,10,16,4432,558,424,136,2021,461,1713,354,194,124,80,66,3035,380,345,172,994,230,1180,298,444,147,72,57,4010,388,475,255,1006,212,1307,250,691,221,531,175
16000US3466570,"Secaucus, NJ",8525,491,898,313,3839,470,2982,426,521,199,285,140,2153,391,700,280,1367,302,69,48,0,25,17,29,2820,468,74,52,1389,339,1272,340,67,60,18,29,1562,303,112,79,574,165,608,216,248,156,20,27,1990,307,12,20,509,168,1033,257,206,108,230,130
16000US3474630,"Union City, NJ",25782,770,10430,893,11408,746,2993,454,833,228,118,76,6849,663,4193,538,2582,399,49,50,25,28,0,32,7908,675,2724,401,3903,642,1212,328,69,56,0,32,4835,602,1673,355,2420,451,549,177,179,101,14,22,6190,413,1840,278,2503,382,1183,273,560,186,104,74
16000US3479610,"West New York, NJ",20645,673,8499,701,9050,737,2393,450,569,205,134,88,5994,709,3181,564,2621,476,162,104,16,25,14,21,6161,673,2537,558,2813,383,713,282,88,62,10,16,3571,576,1084,289,1837,402,536,193,114,98,0,32,4919,409,1697,291,1779,349,982,275,351,177,110,83
